frame_number,x,y,width,height,status,fps
494,114,73,69,135,TRACKING,20.0532
495,114,73,69,135,TRACKING,20.0595
496,114,73,69,135,TRACKING,20.2528
497,113,73,69,135,TRACKING,20.0486
498,114,73,69,135,TRACKING,19.8344
499,114,73,69,135,TRACKING,20.4184
500,114,73,69,135,TRACKING,19.6539
501,114,73,69,135,TRACKING,19.6156
502,114,73,69,135,TRACKING,16.7537
503,114,73,69,135,TRACKING,16.6511
504,114,73,69,135,TRACKING,20.2894
505,114,73,69,135,TRACKING,18.9913
506,115,73,69,135,TRACKING,20.4614
507,115,73,69,135,TRACKING,18.2002
508,114,73,69,135,TRACKING,17.3743
509,115,73,69,135,TRACKING,20.7922
510,114,73,69,135,TRACKING,19.9385
511,114,73,69,135,TRACKING,19.8874
512,114,73,69,135,TRACKING,20.4454
513,114,72,69,135,TRACKING,18.7396
514,114,72,69,135,TRACKING,22.2584
515,114,72,69,135,TRACKING,20.4869
516,114,72,69,135,TRACKING,19.9582
517,114,71,69,135,TRACKING,20.4683
518,114,71,69,135,TRACKING,21.7168
519,114,72,69,135,TRACKING,19.6594
520,114,72,69,135,TRACKING,20.1192
521,114,72,69,135,TRACKING,19.6322
522,114,72,69,135,TRACKING,18.3442
523,114,72,69,135,TRACKING,19.4972
524,115,72,69,135,TRACKING,21.3856
525,115,72,69,135,TRACKING,19.7175
526,114,72,69,135,TRACKING,20.2331
527,114,72,69,135,TRACKING,18.5988
528,114,72,69,135,TRACKING,19.2535
529,114,72,69,135,TRACKING,20.5028
530,114,72,69,135,TRACKING,20.6798
531,115,71,69,135,TRACKING,20.7093
532,115,72,69,135,TRACKING,20.4056
533,115,71,69,135,TRACKING,21.0699
534,115,71,69,135,TRACKING,20.5455
535,115,71,69,135,TRACKING,21.8454
536,115,71,69,135,TRACKING,21.2304
537,115,72,69,135,TRACKING,20.9581
538,115,71,69,135,TRACKING,21.7872
539,115,72,69,135,TRACKING,21.1984
540,116,72,69,135,TRACKING,19.7199
541,116,72,69,135,TRACKING,21.2378
542,115,72,69,135,TRACKING,20.5286
543,116,72,69,135,TRACKING,18.1229
544,115,72,69,135,TRACKING,24.2799
545,115,72,69,135,TRACKING,19.928
546,116,72,69,135,TRACKING,20.8058
547,116,72,69,135,TRACKING,20.5723
548,116,72,69,135,TRACKING,20.456
549,116,72,69,135,TRACKING,20.9546
550,116,71,69,135,TRACKING,20.587
551,115,71,69,135,TRACKING,21.8666
552,116,71,69,135,TRACKING,21.3946
553,115,72,69,135,TRACKING,18.4356
554,116,71,69,135,TRACKING,20.6101
555,116,71,69,135,TRACKING,21.4621
556,115,71,69,135,TRACKING,21.0349
557,116,71,69,135,TRACKING,22.2709
558,116,72,69,135,TRACKING,19.2588
559,115,71,69,135,TRACKING,21.2196
560,115,72,69,135,TRACKING,20.8987
